"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"1400000US36001000100","Census Tract 1, Albany County, New York","143","56","10","17","0","13","23","26","14","23","0","13","0","13","96","49",
"1400000US36001000201","Census Tract 2.01, Albany County, New York","516","195","79","75","112","107","10","33","0","13","0","13","0","13","315","144",
"1400000US36001000202","Census Tract 2.02, Albany County, New York","109","85","0","13","0","13","27","45","0","13","0","13","0","13","82","76",
"1400000US36001000301","Census Tract 3.01, Albany County, New York","457","215","96","107","0","13","0","13","0","13","64","103","0","13","297","191",
"1400000US36001000302","Census Tract 3.02, Albany County, New York","331","205","78","63","40","66","0","13","0","13","39","64","0","13","174","191",
"1400000US36001000401","Census Tract 4.01, Albany County, New York","114","55","75","45","0","13","17","27","0","13","0","13","0","13","22","30",
"1400000US36001000403","Census Tract 4.03, Albany County, New York","156","136","99","115","0","13","0","13","0","13","0","13","0","13","57","76",
"1400000US36001000404","Census Tract 4.04, Albany County, New York","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36001000501","Census Tract 5.01, Albany County, New York","270","128","62","66","22","35","35","57","0","13","0","13","0","13","151","92",
"1400000US36001000502","Census Tract 5.02, Albany County, New York","173","95","0","13","0","13","30","28","13","23","11","17","0","13","119","85",
"1400000US36001000600","Census Tract 6, Albany County, New York","371","119","40","45","0","13","32","51","0","13","0","13","0","13","299","104",
"1400000US36001000700","Census Tract 7, Albany County, New York","584","134","64","48","0","13","50","46","0","13","0","13","0","13","470","128",
"1400000US36001000800","Census Tract 8, Albany County, New York","369","108","62","43","6","14","64","53","0","13","0","13","0","13","237","94",
"1400000US36001001100","Census Tract 11, Albany County, New York","138","85","66","55","0","13","15","25","0","13","0","13","0","13","57","51",
"1400000US36001001400","Census Tract 14, Albany County, New York","360","179","311","167","0","13","0","13","0","13","0","13","0","13","49","78",
"1400000US36001001500","Census Tract 15, Albany County, New York","506","174","274","122","63","70","0","13","0","13","27","42","0","13","142","112",
"1400000US36001001600","Census Tract 16, Albany County, New York","212","112","82","69","23","38","0","13","0","13","0","13","0","13","107","87",
"1400000US36001001700","Census Tract 17, Albany County, New York","132","78","84","66","0","13","0","13","0","13","10","15","0","13","38","48",
"1400000US36001001802","Census Tract 18.02, Albany County, New York","128","102","0","13","26","39","27","42","0","13","0","13","0","13","75","69",
"1400000US36001001803","Census Tract 18.03, Albany County, New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36001001804","Census Tract 18.04, Albany County, New York","180","142","95","109","0","13","0","13","0","13","0","13","0","13","85","93",
"1400000US36001001901","Census Tract 19.01, Albany County, New York","124","101","27","37","0","13","0","13","97","94","0","13","0","13","0","13",
"1400000US36001001902","Census Tract 19.02, Albany County, New York","157","82","16","26","27","42","0","13","0","13","0","13","0","13","114","75",
"1400000US36001002000","Census Tract 20, Albany County, New York","253","161","0","18","0","18","31","50","0","18","0","18","0","18","222","155",
"1400000US36001002100","Census Tract 21, Albany County, New York","250","104","74","54","79","71","0","13","0","13","0","13","0","13","97","76",
"1400000US36001002200","Census Tract 22, Albany County, New York","166","82","44","43","0","13","0","13","0","13","0","13","0","13","122","71",
"1400000US36001002300","Census Tract 23, Albany County, New York","211","90","52","46","0","13","0","13","42","49","0","13","0","13","117","80",
"1400000US36001002500","Census Tract 25, Albany County, New York","285","101","78","50","0","13","67","53","0","13","0","13","0","13","140","80",
"1400000US36001002600","Census Tract 26, Albany County, New York","497","176","113","110","0","13","63","72","0","13","0","13","0","13","321","141",
"1400000US36001012700","Census Tract 127, Albany County, New York","52","60","32","53","0","13","0","13","0","13","0","13","0","13","20","31",
